id	addr:city	addr:postcode	addr:street	amenity	cuisine	int_name	name	name:en	opening_hours	website	wheelchair	internet_access	name:mk	phone	email	phone:1	phone:2	outdoor_seating	smoking	takeaway	payment:american_express	payment:coins	payment:maestro	payment:mastercard	payment:notes	payment:visa	payment:visa_electron	phone:3	capacity	delivery	stars	payment:cash	payment:credit_cards	coordinates_x	coordinates_y
node/309894643	??????	1000	??????? ??????????	restaurant	italian	Pelister	????????	Pelister	Mo-Th 07:00-00:00; Fr-Sa 07:00-01:00; Su 10:30-00:00	https://www.pelisterhotel.com.mk/	yes																							21.4315704	41.9953933
node/382645252				restaurant			Brioni																											22.0215553	41.4347276
node/382645390				restaurant																														22.0204395	41.4344573
node/386705447				restaurant			Ramazzoti																											22.0115107	41.4412063
node/386705584				restaurant			Exclusive																											22.0096102	41.4410295
node/393755446				restaurant	fish;grill		??? ???					wlan																						22.7220346	41.1844141
node/411006922				restaurant			?????????																											21.4140669	41.9947432
node/411634092				restaurant	italian_pizza;regional;balkan		????	Skar				wlan	????																					21.2485747	41.368101
node/411634094				restaurant			???????	Beneton					???????																					21.2486257	41.3681312
node/414619170				restaurant	chicken;diner;regional;pancake;sausage;coffee_shop;ice_cream;balkan;mediterranean;burger;fish;breakfast;grill		Cardak		Mo-Su 08:00-02:00			wlan		38978420959																				21.2151321	41.5065603
node/414619172				restaurant			Lisec																											21.2177087	41.5075223
node/419115353				restaurant	fish	Pešna	?????	Peshna		www.pesnamotel.com.mk					pesnamotel@yahoo.com	+389 75 44 64 10	+389 76 432 432																	21.2442677	41.541066
node/419829216				restaurant			Kico																											22.0111128	41.4412564
node/419829221				restaurant			Riben restorant																											22.0135418	41.4407867
node/419829868				restaurant	regional		Aleksandrija																											22.0116142	41.4331716
node/423804306				restaurant			Kaj Mame																											21.2160292	41.5081589
node/427013440				restaurant			Spandja																											22.0121336	41.4411582
node/429175192				restaurant			??????																											21.4438183	41.9768256
node/442545329				restaurant		Prolet	??????	Prolet																										22.4125757	41.9153534
node/444360934				restaurant	regional	Grad?e	??????																											22.4062744	41.9596507
node/444695321				restaurant	regional		????????																											22.4078181	41.9561396
node/444695322				restaurant																														22.4072357	41.9639856
node/444695367				restaurant			Ribnik Blatec																											22.6230389	41.8339517
node/444695368				restaurant																														22.624069	41.833525
node/445422613				restaurant	steak_house		Hunter’s Lodge “Kamnik”			http://www.kamnik.com.mk/																								21.4871217	42.0072516
node/459668143				restaurant			??? ????																											21.4307036	42.0047876
node/459668914				restaurant	italian		??? ????	Gino	"Mo 08:00-24:00, Tu,We,Fr,Sa 09:00-24:00, Th 09:00-23:00, Su 09:00-01:00"	http://www.restorangino.mk/				+389 2 3121109	contact@restorangino.mk			yes	outside															21.4342799	41.9943261
node/459669063	C?o?je	1000	??? 13 ???????	restaurant	latin_american	Plaza de Toros	????? ?? ?????																											21.4350117	41.9952456
node/461655652				restaurant			Luna 2																											22.6502444	41.4392415
node/477689620				restaurant	regional		Rubiko																											22.0953457	41.4895975
node/477689674				restaurant	regional		Kaj Zika																											21.9522494	41.5237914
node/478041022				restaurant	regional		Makedonska Kuka																											22.0136796	41.4337258
node/481098096				restaurant	italian		??????																											21.3995191	42.0031464
node/497549476				restaurant			????	Milo																										22.8645	41.69802
node/497549481				restaurant			??????? ?????? 2	Ristovo Meanche 2																										22.85985	41.70396
node/497549483				restaurant			???	Mrs																										22.8571233	41.7045671
node/499932154				restaurant			??????	Divine																										22.9354984	41.7301724
node/521505926				restaurant			Moneta																											22.0187521	41.4389417
node/528996470				restaurant			??? ?????																											20.7819982	40.9615847
node/555008847				restaurant	fish		????																											22.7242971	41.180711
node/555023959		36330	15 ??????	restaurant	regional		?'?? ?? ???																											20.6762151	41.1769374
node/572366400				restaurant			Bonaca																											20.676795	41.1778398
node/577538782				restaurant			Prince																											21.4349372	42.0198926
node/600905655			????????	restaurant			??? ?????	Bosphorus Turkish Restaurant																										21.3926682	42.0028498
node/696669231				restaurant			??	iV																										21.4368796	41.9869006
node/837180282				restaurant		Arena	?????	Arena																										21.3533345	41.0364578
node/908273433				restaurant	regional		??p?c?	Turist																										21.4367576	42.0003099
node/911173351				restaurant			Tropic																											22.0333387	41.397022
node/911176033				restaurant			Moskva																											22.004638	41.4347168
node/1021423924				restaurant			Maestro Cafe																											20.9731075	42.0080851
node/1088079193				restaurant																														22.3331186	41.8823767
node/1092272132				restaurant																														21.3510028	42.0064872
node/1132688809				restaurant	international		River Side Garden							38970890606																				21.3274583	41.9953819
node/1371716593			??????????	restaurant			?????																											21.4122694	41.9979155
node/1372568001			?????????	restaurant			????																											21.3989291	42.000855
node/1377184494				restaurant			??????? ??????																											21.4960141	42.0013936
node/1378130151				restaurant			?????																											21.4390455	41.9841333
node/1378130158				restaurant																														21.4391421	41.983244
node/1378228324				restaurant			???????? ??????																											21.4455687	41.9710708
node/1378228333				restaurant			???????? ???																											21.4385091	41.9787578
node/1380378665		1000	??????	restaurant	burger;regional;breakfast;grill;mediterranean;balkan;chicken;kebab		?????????	Rustikana	Mo-Su 10:00-00:00			wlan		38971383382	dinamic.ksk@gmail.com																			21.4078483	41.9997295
node/1380378702				restaurant			?????																											21.415982	41.9985008
node/1475328750				restaurant	regional		Restoran Tomi																											21.3462963	42.0464013
node/1475384945				restaurant																														21.3469347	42.0455608
node/1475388232				restaurant	regional		Meraklii																											21.3508185	42.0299906
node/1475404511				restaurant																														21.3651275	42.0069568
node/1506640739				restaurant		Dzidan Most	????? ????	Dzidan Most																										21.4700306	41.591053
node/1507082600				restaurant																														21.2191049	41.0331866
node/1507250217				restaurant																														21.1183781	40.8595203
node/1535266560				restaurant			???????? ?????? 919	Restaurant Ragusa 919																										21.4820381	41.9782792
node/1577483516				restaurant	international	Staro Bure	????? ????																											21.3975417	42.0035286
node/1577485951				restaurant	regional	At 62	62																											21.3741187	42.0065185
node/1596475596				restaurant	regional	Wine House	?????? ????																											22.0228438	41.4334495
node/1634933708				restaurant			?????																											21.7753509	41.7170862
node/1660208191				restaurant			??????																											21.3528594	41.036449
node/1660208193				restaurant			??????																											21.3539109	41.036449
node/1674866746				restaurant		Javor Džoko	????? ????	Javor Dzhoko																										22.5045562	41.1651121
node/1676857177				restaurant	fish		????? ???????? ????? (???????)																											21.4871492	41.9843967
node/1682245572				restaurant																														21.1628707	40.9077301
node/1704390096				restaurant																														20.9622235	41.5126282
node/1704390097				restaurant																														20.9578247	41.5098564
node/1710571027				restaurant			?????																											21.7777592	41.7176653
node/1710571117				restaurant			?????????																											21.7775232	41.7176332
node/1712601384				restaurant			???? ????																											21.7842383	41.7153245
node/1712601392				restaurant			???? ????																											21.7842139	41.7154688
node/1734513473				restaurant																														21.3337137	42.0066455
node/1734513478				restaurant																														21.3362989	42.0073873
node/1734530400				restaurant																														21.3651314	42.0067805
node/1747649203				restaurant			?????																											21.4151525	41.9946274
node/1748017584	??????			restaurant	regional		Marana													yes														21.4204907	41.9904847
node/1751563134	C?o?je		??????? ??????? ????????	restaurant	international		Pastel Wine & Dine	Pastel Wine & Dine	Mo-Fr 06:30-21:00; Sa 06:30-17:00; Su 06:30-16:00	http://pastel.mk/	yes	wlan		+389 2 3214447					outside	yes	no	yes	yes	yes	yes	yes	yes							21.4245254	41.9947645
node/1752178268				restaurant	italian		511																											21.4163482	41.9922398
node/1752186795				restaurant			?????	Acorde																										21.4086601	41.9972291
node/1768193993				restaurant		Baba Cana	???? ????																											21.7204006	42.1365224
node/1770866402		1000	T.C Bunjakovec prv kat lok 36	restaurant	pizza		???????? ????????							38970567295																				21.4207447	41.9987097
node/1776012307				restaurant		Korner	??????																											21.7318423	42.1235585
node/1790311348				restaurant	regional		???????? ????? - Restaurant SONCE																											22.819584	41.3811426
node/1790358588				restaurant																														22.8155652	41.3818009
node/1790358591				restaurant																														22.798482	41.3790614
node/1791514947				restaurant																														22.8810812	41.4130818
node/1791514950				restaurant																														22.882079	41.4128968
node/1791514952				restaurant																														22.8808076	41.4126312
node/1791534874				restaurant																														22.7547196	41.3827929
node/1791588304				restaurant																														22.625661	41.4072696
node/1791598024				restaurant			????? ???????	Hotel Istatov				wlan																						22.6991213	41.2271802
node/1791598062				restaurant																														22.7425087	41.1725775
node/1794219941				restaurant		Rim-Pariz	???-?????																											21.7181577	42.1317263
node/1848409293				restaurant			?????????																											21.4456487	41.9775109
node/1850422186				restaurant																														21.450695	42.0523407
node/1850489869				restaurant			???????? „??????????“																											21.4514149	42.0578588
node/1850521527				restaurant			??????																											21.4523161	42.0537503
node/1857486052				restaurant	barbecue		???? - ?????	Tica-Eleni																										21.4647397	42.0019716
node/1860123667				restaurant	barbecue																													21.4650824	42.0019424
node/1867176020				restaurant	international	Trend	?????	Trend			limited																							21.4304595	41.9957062
node/1868812117	C?o?je	1000	???????? ????????????	restaurant	barbecue		??????		Mo-Su 09:00-23:00	https://destan.mk/pocetna/				38923127324				yes	separated															21.4204158	41.9987513
node/1868812169				restaurant	barbecue		??? ??????																											21.3995909	42.0034064
node/1868933572				restaurant	macedonian		?????																											21.3992299	42.0017742
node/1874196851				restaurant	regional		????????? ?????																											22.3532041	42.0371055
node/1911713227				restaurant	regional																													22.2263765	41.4106825
node/1911952177				restaurant	regional	?????? ????	?????? ????																											22.1994416	41.1775397
node/1911952203				restaurant	regional	Markovo Ba?ilo	??????? ??????																											22.2108324	41.1690988
node/1920228869				restaurant	fish	????	Park																											22.1639057	42.1826707
node/1920229092				restaurant	fish	Gogo Mond	???? ????																											22.0980414	42.1712493
node/1927095420				restaurant			Piaza Liberta																											22.1937687	41.7376171
node/1969643792				restaurant	fish	Izvor	?????	Izvor								+389 45 275 200	+389 78 281 261											+388 70 950 009						21.2205193	41.6150472
node/1985948203				restaurant	italian		Balila																											21.416522	41.9922245
node/1999633538				restaurant			?????? - ???????	Food Court Ramstore																										21.4280088	41.9913688
node/1999950854				restaurant	grill;regional		Urban Grill																											22.2452001	41.4084933
node/1999950860				restaurant			Kaj Kole																											22.2432474	41.4098411
node/1999950870				restaurant	pizza;regional		Lovec						?????																					22.2439153	41.4092999
node/1999950889				restaurant			Queen Maria																											22.2329754	41.4141902
node/2105387352	??????		???? ???????	restaurant		Brukilnski	??????????	Bruklinski			limited			+389 2 6091844				yes	separated															21.4252581	42.0001581
node/2159535851	C?o?je	1000	??? 13 ???????	restaurant	international		???? ?????	Bella Vista	"10:00-24:00, Fr-Sa 10:00-01:00"	www.bellavistaskopje.mk																								21.4347685	41.9953199
